Title,Type,Service,Genre,IMDB,ReelGood,Released Year,Seasons
BoJack Horseman,tv,Netflix,Comedy,8.7,86.0,2014,6.0
BoJack Horseman,tv,Netflix,Animation,8.7,86.0,2014,6.0
Scrubs,tv,Hulu,Drama,8.3,86.0,2001,9.0
Scrubs,tv,Hulu,Comedy,8.3,86.0,2001,9.0
Buffy the Vampire Slayer,tv,Hulu,Drama,8.2,85.0,1997,7.0
Buffy the Vampire Slayer,tv,Hulu,Action & Adventure,8.2,85.0,1997,7.0
Buffy the Vampire Slayer,tv,Hulu,Comedy,8.2,85.0,1997,7.0
The IT Crowd,tv,Netflix,Comedy,8.5,86.0,2006,5.0
Demon Slayer: Kimetsu no Yaiba,tv,Hulu,Anime,8.7,85.0,2019,2.0
Demon Slayer: Kimetsu no Yaiba,tv,Hulu,Action & Adventure,8.7,85.0,2019,2.0
Demon Slayer: Kimetsu no Yaiba,tv,Hulu,Animation,8.7,85.0,2019,2.0
The End of the F***ing World,tv,Netflix,Crime,8.1,86.0,2017,2.0
The End of the F***ing World,tv,Netflix,Action & Adventure,8.1,86.0,2017,2.0
The End of the F***ing World,tv,Netflix,Comedy,8.1,86.0,2017,2.0
What We Do in the Shadows,tv,Hulu,Comedy,8.5,85.0,2019,3.0
What We Do in the Shadows,tv,Hulu,Fantasy,8.5,85.0,2019,3.0
What We Do in the Shadows,tv,Hulu,Horror,8.5,85.0,2019,3.0
Broadchurch,tv,Netflix,Crime,8.4,86.0,2013,3.0
Broadchurch,tv,Netflix,Drama,8.4,86.0,2013,3.0
Broadchurch,tv,Netflix,Mystery,8.4,86.0,2013,3.0
Sense8,tv,Netflix,Drama,8.3,86.0,2015,3.0
Sense8,tv,Netflix,LGBTQ,8.3,86.0,2015,3.0
Sense8,tv,Netflix,Mystery,8.3,86.0,2015,3.0
Pride and Prejudice,tv,Hulu,Romance,8.8,85.0,1995,1.0
Pride and Prejudice,tv,Hulu,Drama,8.8,85.0,1995,1.0
The Twilight Zone,tv,Netflix,Fantasy,9.0,85.0,1959,5.0
The Twilight Zone,tv,Netflix,Science-Fiction,9.0,85.0,1959,5.0
The Twilight Zone,tv,Hulu,Fantasy,9.0,85.0,1959,5.0
The Twilight Zone,tv,Hulu,Science-Fiction,9.0,85.0,1959,5.0
"Love, Death & Robots",tv,Netflix,Comedy,8.5,85.0,2019,2.0
"Love, Death & Robots",tv,Netflix,Science-Fiction,8.5,85.0,2019,2.0
"Love, Death & Robots",tv,Netflix,Animation,8.5,85.0,2019,2.0
Arrow,tv,Netflix,Drama,7.5,85.0,2012,8.0
Arrow,tv,Netflix,Action & Adventure,7.5,85.0,2012,8.0
Arrow,tv,Netflix,Fantasy,7.5,85.0,2012,8.0
White Collar,tv,Hulu,Crime,8.2,85.0,2009,6.0
White Collar,tv,Hulu,Drama,8.2,85.0,2009,6.0
White Collar,tv,Hulu,Action & Adventure,8.2,85.0,2009,6.0
Naruto Shippūden,tv,Hulu,Anime,8.6,84.0,2007,24.0
Naruto Shippūden,tv,Hulu,Action & Adventure,8.6,84.0,2007,24.0
Naruto Shippūden,tv,Hulu,Animation,8.6,84.0,2007,24.0
Bob's Burgers,tv,Hulu,Comedy,8.1,84.0,2011,11.0
Bob's Burgers,tv,Hulu,Animation,8.1,84.0,2011,11.0
24,tv,Hulu,Drama,8.3,85.0,2001,9.0
24,tv,Hulu,Action & Adventure,8.3,85.0,2001,9.0
24,tv,Hulu,Thriller,8.3,85.0,2001,9.0
The Last Kingdom,tv,Netflix,Romance,8.4,86.0,2015,4.0
The Last Kingdom,tv,Netflix,History,8.4,86.0,2015,4.0
The Last Kingdom,tv,Netflix,Action & Adventure,8.4,86.0,2015,4.0
American Horror Story,tv,Netflix,Drama,8.0,83.0,2011,10.0
American Horror Story,tv,Netflix,Thriller,8.0,83.0,2011,10.0
American Horror Story,tv,Netflix,Horror,8.0,83.0,2011,10.0
American Horror Story,tv,Hulu,Drama,8.0,83.0,2011,10.0
American Horror Story,tv,Hulu,Thriller,8.0,83.0,2011,10.0
American Horror Story,tv,Hulu,Horror,8.0,83.0,2011,10.0
New Girl,tv,Netflix,Comedy,7.7,85.0,2011,7.0
Cosmos,tv,Disney+,Documentary,9.3,82.0,2014,3.0
Cosmos,tv,Hulu,Documentary,9.3,82.0,2014,3.0
Bates Motel,tv,Netflix,Crime,8.2,84.0,2013,5.0
Bates Motel,tv,Netflix,Drama,8.2,84.0,2013,5.0
Bates Motel,tv,Netflix,Horror,8.2,84.0,2013,5.0
How to Get Away with Murder,tv,Netflix,Crime,8.1,85.0,2014,6.0
How to Get Away with Murder,tv,Netflix,Drama,8.1,85.0,2014,6.0
How to Get Away with Murder,tv,Netflix,Thriller,8.1,85.0,2014,6.0
How to Get Away with Murder,tv,Hulu,Crime,8.1,85.0,2014,6.0
